id;nombre_autor;img_autor
1;Freida McFadden;https://imagessl.casadellibro.com/img/autores/w/20119027.v2.webp
2;Eva García Sáenz de Urturi;https://imagessl.casadellibro.com/img/autores/w/20097157-3.webp
3;Joël Dicker;https://imagessl.casadellibro.com/img/autores/w/20087034-1.webp
4;Stephen King;https://imagessl.casadellibro.com/img/autores/w/292.webp
5;Sergio Vila-Sanjuán;https://imagessl.casadellibro.com/img/autores/w/88632-1.webp
6;Marcos Chicot;https://imagessl.casadellibro.com/img/autores/140917.png
7;Alaitz Leceaga;https://imagessl.casadellibro.com/img/autores/w/20101639-2.webp
8;Dan Brown;https://imagessl.casadellibro.com/img/autores/w/40110-1.webp
9;Maxi Iglesias;https://imagessl.casadellibro.com/img/autores/w/20121892.webp
10;Santiago Díaz;https://imagessl.casadellibro.com/img/autores/w/20101204-1.webp
11;María Oruña;https://imagessl.casadellibro.com/img/autores/w/20096348-1.webp
12;John Connolly;https://imagessl.casadellibro.com/img/autores/w/JohnConnolly.webp
13;Lorenzo Silva;https://imagessl.casadellibro.com/img/autores/w/19898-3.webp
14;Desirée Ruiz;
15;Robert Galbraith;https://imagessl.casadellibro.com/img/autores/w/20093346.webp
16;Alexandre Escrivà;
17;Dolores Redondo;https://imagessl.casadellibro.com/img/autores/w/20082340-4.webp
18;César Pérez Gellida;https://imagessl.casadellibro.com/img/autores/w/20084200-2.webp
19;Óscar Reboiras;https://imagessl.casadellibro.com/img/autores/w/20121078.webp
20;Jorge Díaz;https://imagessl.casadellibro.com/img/autores/w/jorgediaz314.webp
21;Toni Hill;https://imagessl.casadellibro.com/img/autores/w/147629-1.webp
22;Carmen Mola;https://imagessl.casadellibro.com/img/autores/w/20101529.webp
23;Javier Castillo;https://imagessl.casadellibro.com/img/autores/w/101034_2024.webp
24;Pedro Feijoo;https://imagessl.casadellibro.com/img/autores/w/20088276.webp
25;Javier Sierra;https://imagessl.casadellibro.com/img/autores/w/50894.webp
26;Freya Sampson;
27;Pedro Martí;
28;Uketsu;https://imagessl.casadellibro.com/img/autores/w/20120453.webp
29;Juan Gómez-Jurado;https://imagessl.casadellibro.com/img/autores/w/Gomez Jurado.webp
30;Arturo del Burgo;
31;Michael Connelly;https://imagessl.casadellibro.com/img/autores/w/13306-1.webp
32;Karin Smirnoff;https://imagessl.casadellibro.com/img/autores/w/20118671.webp
33;Arantza Portabales;https://imagessl.casadellibro.com/img/autores/w/20105550.webp
34;Susana López Rubio;
35;Víctor Entrialgo de Castro;
