customer_id;gender;age_group
1;F;40-59
2;M;20-39
3;F;20-39
4;F;20-39
5;M;60+
6;F;60+
7;F;40-59
8;F;<20
9;M;20-39
10;M;20-39
11;M;60+
12;F;<20
13;F;<20
14;F;40-59
15;M;20-39
16;M;40-59
17;F;<20
18;M;40-59
19;F;<20
20;F;<20
21;F;20-39
22;M;20-39
23;F;40-59
24;F;<20
25;F;<20
26;M;40-59
27;M;20-39
28;M;40-59
29;M;40-59
30;F;<20
31;F;40-59
32;F;20-39
33;M;20-39
34;M;<20
35;M;40-59
36;M;20-39
37;M;20-39
38;M;60+
39;M;20-39
40;F;60+
41;M;40-59
42;F;60+
43;F;60+
44;M;60+
45;F;<20
46;F;40-59
47;M;40-59
48;M;40-59
49;F;20-39
50;M;60+
51;M;20-39
52;M;20-39
53;F;20-39
54;F;<20
55;F;40-59
56;F;<20
57;M;40-59
58;F;60+
59;M;20-39
60;M;40-59
61;F;<20
62;M;60+
63;F;60+
64;F;<20
65;F;40-59
66;F;20-39
67;F;20-39
68;M;40-59
69;M;20-39
70;M;40-59
71;M;20-39
72;M;20-39
73;F;60+
74;M;<20
75;M;40-59
76;M;20-39
77;M;60+
78;F;40-59
79;F;20-39
80;F;20-39
81;F;20-39
82;M;60+
83;F;20-39
84;M;20-39
85;M;40-59
86;M;20-39
87;F;20-39
88;M;20-39
89;M;<20
90;F;40-59
91;M;60+
92;F;60+
93;M;60+
94;M;20-39
95;M;20-39
96;F;40-59
97;M;60+
98;M;40-59
99;M;20-39
100;F;40-59
101;F;40-59
102;F;60+
103;M;40-59
104;F;20-39
105;F;20-39
106;F;20-39
107;M;20-39
108;M;60+
109;M;20-39
110;F;20-39
111;M;20-39
112;M;40-59
113;M;20-39
114;F;<20
115;M;60+
116;F;20-39
117;F;20-39
118;F;20-39
119;M;20-39
120;F;40-59
121;F;60+
122;F;<20
123;M;60+
124;M;40-59
125;M;20-39
126;M;20-39
127;M;20-39
128;M;60+
129;M;20-39
130;F;20-39
131;M;40-59
132;F;60+
133;F;40-59
134;M;40-59
135;F;20-39
136;M;60+
137;F;20-39
138;M;<20
139;F;60+
140;M;20-39
141;M;<20
142;M;40-59
143;F;20-39
144;F;<20
145;M;40-59
146;M;40-59
147;M;40-59
148;F;<20
149;M;20-39
150;M;40-59
151;F;<20
152;F;20-39
153;M;<20
154;F;20-39
155;M;20-39
156;F;40-59
157;M;60+
158;F;20-39
159;F;40-59
160;F;20-39
