id;ranking_genero;titulo;precio;editorial;genero;idioma;numero_paginas;encuadernacion;fecha_lanzamiento;año_de_edicion;img_portada;autor_id
1;nn1;LA ASISTENTA;19,90;Suma;Novela negra;Castellano;344;Tapa blanda;05/10/2023;2023;https://imagessl3.casadellibro.com/a/l/s7/83/9788491294283.webp;1
2;nn2;LA SAGA DE LOS LONGEVOS 3. EL CAMINO DEL PADRE;22,90;Editorial Planeta;Novela negra;Castellano;432;Tapa dura;18/06/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/53/9788408304753.webp;2
3;nn3;EL SECRETO DE LA ASISTENTA (LA ASISTENTA 2);20,90;Suma;Novela negra;Castellano;336;Tapa blanda;09/05/2024;2024;https://imagessl4.casadellibro.com/a/l/s7/34/9788419835734.webp;1
4;nn4;LA MUY CATASTRÓFICA VISITA AL ZOO;19,90;Alfaguara;Novela negra;Castellano;232;Tapa blanda;03/04/2025;2025;https://imagessl2.casadellibro.com/a/l/s7/02/9788410496002.webp;3
5;nn5;NO TENGAS MIEDO;24,90;Plaza & Janes;Novela negra;Castellano;608;Tapa dura;12/06/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/35/9788401036835.webp;4
6;nn6;LA BODA DE LA ASISTENTA;7,90;Suma;Novela negra;Castellano;96;Tapa blanda;22/05/2025;2025;https://imagessl6.casadellibro.com/a/l/s7/46/9788491299646.webp;1
7;nn7;LA ASISTENTA TE VIGILA (LA ASISTENTA 3);20,90;Suma;Novela negra;Castellano;368;Tapa blanda;11/07/2024;2024;https://imagessl4.casadellibro.com/a/l/s7/84/9788410257184.webp;1
8;nn8;MISTERIO EN EL BARRIO GOTICO;20,90;Editorial Planeta;Novela negra;Castellano;256;Tapa dura;25/06/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/10/9788408305910.webp;5
9;nn9;TRAS LA PUERTA;20,90;Suma;Novela negra;Castellano;312;Tapa blanda;10/04/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/33/9788410257733.webp;1
10;nn10;EL ASESINATO DE ARISTÓTELES;23,90;Editorial Planeta;Novela negra;Castellano;568;Tapa dura;21/05/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/13/9788408302513.webp;6
11;nn11;LA ÚLTIMA PRINCESA;21,90;Editorial Planeta;Novela negra;Castellano;384;Tapa dura;11/06/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/60/9788408304760.webp;7
12;nn12;EL ÚLTIMO SECRETO;24,90;Editorial Planeta;Novela negra;Castellano;832;Tapa dura;10/09/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/63/9788408306863.webp;8
13;nn13;NUNCA MIENTAS;20,90;Suma;Novela negra;Castellano;320;Tapa blanda;10/07/2025;2025;https://imagessl8.casadellibro.com/a/l/s7/18/9788410257818.webp;1
14;nn14;HORIZONTE ARTIFICIAL;21,90;Roca Editorial;Novela negra;Castellano;304;Tapa blanda;29/05/2025;2025;https://imagessl4.casadellibro.com/a/l/s7/64/9788410096264.webp;9
15;nn15;JOTADE;20,90;Alfaguara;Novela negra;Castellano;392;Tapa blanda;13/03/2025;2025;https://imagessl8.casadellibro.com/a/l/s7/98/9788410299498.webp;10
16;nn16;EL ALBATROS NEGRO;23,90;Plaza&janes;Novela negra;Castellano;616;Tapa dura;04/03/2025;2025;https://imagessl4.casadellibro.com/a/l/s7/94/9788401034794.webp;11
17;nn17;LOS MENSAJEROS DE LA OSCURIDAD (SERIE CHARLIE PARKER 22);21,90;Tusquets Editores S.A.;Novela negra;Castellano;528;Tapa blanda;04/06/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/01/9788411076401.webp;12
18;nn18;ESTUCHE LA SAGA DE LOS LONGEVOS;67,70;Editorial Planeta;Novela negra;Castellano;1184;Tapa dura;18/06/2025;2025;https://imagessl9.casadellibro.com/a/l/s7/79/9788408305279.webp;2
19;nn19;LA SAGA DE LOS LONGEVOS 2. LOS HIJOS DE ADÁN;21,90;Editorial Planeta;Novela negra;Castellano;336;Tapa dura;19/02/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/07/9788408298007.webp;2
20;nn20;LAS FUERZAS CONTRARIAS;22,90;Ediciones Destino;Novela negra;Castellano;408;Tapa dura;05/03/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/77/9788423367177.webp;13
21;nn21;LA CASA DE LAS AMAPOLAS;21,90;Ndenovela;Novela negra;Castellano;424;Tapa dura;02/04/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/33/9788410140233.webp;14
22;nn22;LA TUMBA VELOZ (CORMORAN STRIKE 7);28,00;Salamandra;Novela negra;Castellano;1120;Tapa blanda;26/06/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/95/9788410340695.webp;15
23;nn23;LA SAGA DE LOS LONGEVOS 1. LA VIEJA FAMILIA;22,90;Editorial Planeta;Novela negra;Castellano;480;Tapa dura;02/10/2024;2024;https://imagessl2.casadellibro.com/a/l/s7/92/9788408292692.webp;2
24;nn24;EL RECLUSO;20,90;Suma;Novela negra;Castellano;328;Tapa blanda;16/01/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/11/9788410257511.webp;1
25;nn25;EL MISTERIO HANNAH LARSON;21,90;Alfaguara;Novela negra;Castellano;512;Tapa blanda;14/05/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/61/9788410299061.webp;16
26;nn26;LAS QUE NO DUERMEN NASH;23,90;Ediciones Destino;Novela negra;Castellano;608;Tapa dura;13/11/2024;2024;https://imagessl4.casadellibro.com/a/l/s7/84/9788423366484.webp;17
27;nn27;NADA BUENO GERMINA;22,90;Ediciones Destino;Novela negra;Castellano;528;Tapa dura;07/05/2025;2025;https://imagessl2.casadellibro.com/a/l/s7/72/9788423367672.webp;18
28;nn28;EL CASO SALGUEIRO;20,90;Alfaguara;Novela negra;Castellano;408;Tapa blanda;27/02/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/83/9788420477183.webp;19
29;nn29;EL ESPÍA;22,90;Editorial Planeta;Novela negra;Castellano;432;Tapa dura;09/04/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/85/9788408300885.webp;20
30;nn30;LA MUERTE BLANCA (TRILOGÍA DEL VERDUGO 3);22,90;Grijalbo;Novela negra;Castellano;560;Tapa blanda;26/06/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/27/9788425370427.webp;21
31;nn31;EL CLAN (INSPECTORA ELENA BLANCO 5);21,90;Editorial Planeta;Novela negra;Castellano;456;Tapa blanda;10/09/2024;2024;https://imagessl8.casadellibro.com/a/l/s7/68/9788408291268.webp;22
32;nn32;NUEVA NOVELA JAVIER CASTILLO;22,90;Suma;Novela negra;Castellano;448;Tapa blanda;01/10/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/90/9788491299790.webp;23
33;nn33;UN ANIMAL SALVAJE;23,90;Alfaguara;Novela negra;Castellano;448;Tapa blanda;04/04/2024;2024;https://imagessl1.casadellibro.com/a/l/s7/41/9788420476841.webp;3
34;nn34;DONDE NACEN LAS BESTIAS;22,90;B;Novela negra;Castellano;512;Tapa blanda;14/05/2025;2025;https://imagessl2.casadellibro.com/a/l/s7/52/9788466682152.webp;24
35;nn35;EL MAESTRO DEL PRADO;20,00;Editorial Planeta;Novela negra;Castellano;336;Tapa dura;26/02/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/90/9788408030690.webp;25
36;nn36;VECINOS COTILLAS (COZY MYSTERY);19,95;Editorial Alma;Novela negra;Castellano;448;Tapa blanda;11/06/2025;2025;https://imagessl2.casadellibro.com/a/l/s7/92/9788410206892.webp;26
37;nn37;LA MALA HIJA;21,76;Ediciones Destino;Novela negra;Castellano;656;Tapa blanda;02/04/2025;2025;https://imagessl4.casadellibro.com/a/l/s7/44/9788423367344.webp;27
38;nn38;STRANGE HOUSES;20,90;Reservoir Books;Novela negra;Castellano;224;Tapa blanda;10/07/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/47/9788410352247.webp;28
39;nn39;TODO MUERE (TODO ARDE 3);24,90;B;Novela negra;Castellano;648;Tapa dura;05/11/2024;2024;https://imagessl3.casadellibro.com/a/l/s7/23/9788466679923.webp;29
40;nn40;NO MIENTAS;12,90;Newton Compton Editores;Novela negra;Castellano;416;Tapa dura;13/01/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/60/9788410080560.webp;30
41;nn41;NO MIENTAS;12,90;Newton Compton Editores;Novela negra;Castellano;416;Tapa dura;13/01/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/60/9788410080560.webp;30
42;nn42;EL ABOGADO DEL LINCOLN;21,95;Adn Editorial Grupo Anaya;Novela negra;Castellano;488;Tapa blanda;22/05/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/53/9788410138353.webp;31
43;nn43;LOS COLMILLOS DEL LINCE (SERIE MILLENNIUM 8);22,90;Ediciones Destino;Novela negra;Castellano;544;Tapa blanda;30/04/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/95/9788423367795.webp;32
44;nn44;ASESINATO EN LA CASA ROSA (LOS CRÍMENES DE LOEIRO 1);20,90;Lumen;Novela negra;Castellano;440;Tapa blanda;23/01/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/10/9788426426710.webp;33
45;nn45;LA GRIETA DEL SILENCIO;21,90;Suma;Novela negra;Castellano;448;Tapa blanda;16/04/2024;2024;https://imagessl0.casadellibro.com/a/l/s7/10/9788491296010.webp;23
46;nn46;LA MUJER DE ARRIBA;21,90;Suma;Novela negra;Castellano;352;Tapa dura;21/11/2024;2024;https://imagessl2.casadellibro.com/a/l/s7/02/9788491298502.webp;1
47;nn47;EL MISTERIO DE LA TURISTA QUE MURIÓ DOS VECES;22,90;Espasa;Novela negra;Castellano;712;Tapa dura;04/06/2025;2025;https://imagessl8.casadellibro.com/a/l/s7/28/9788467076028.webp;34
48;nn48;ASESINATO EN PARÍS;16,00;Bod - Books on Demand;Novela negra;Castellano;256;Tapa blanda;02/06/2025;2025;https://imagessl8.casadellibro.com/a/l/s7/98/9788413738598.webp;35
