order_line_id;order_id;order_date;customer_id;book_id
1;1;2025-11-06;5719;301
2;1;2025-11-06;5719;8
3;1;2025-11-06;5719;684
4;2;2024-04-10;1826;636
5;3;2025-10-06;1778;473
6;3;2025-10-06;1778;1
7;3;2025-10-06;1778;507
8;3;2025-10-06;1778;308
9;4;2023-06-25;413;439
10;4;2023-06-25;413;580
11;5;2025-05-05;4970;224
12;5;2025-05-05;4970;103
13;6;2025-01-22;5745;1
14;6;2025-01-22;5745;101
15;7;2024-11-17;3327;608
16;7;2024-11-17;3327;88
17;8;2024-12-20;3192;105
18;8;2024-12-20;3192;502
19;8;2024-12-20;3192;337
20;9;2024-02-26;1651;323
21;9;2024-02-26;1651;265
22;9;2024-02-26;1651;268
23;9;2024-02-26;1651;285
24;10;2023-02-19;4236;52
25;11;2025-11-23;1654;255
26;11;2025-11-23;1654;74
27;11;2025-11-23;1654;402
28;11;2025-11-23;1654;101
29;12;2023-03-20;4791;94
30;13;2023-06-13;6158;347
31;14;2023-06-25;2207;321
32;14;2023-06-25;2207;334
33;15;2023-10-03;3588;71
34;16;2024-06-25;1842;614
35;16;2024-06-25;1842;208
36;17;2025-02-13;2938;424
37;17;2025-02-13;2938;466
38;18;2024-01-15;2182;603
39;18;2024-01-15;2182;265
40;19;2024-10-02;816;507
41;20;2025-03-11;6209;20
42;20;2025-03-11;6209;406
43;21;2025-01-13;5464;226
44;21;2025-01-13;5464;683
45;22;2023-10-01;4070;508
46;22;2023-10-01;4070;444
47;23;2025-03-04;1521;3
48;24;2024-10-02;2471;399
49;24;2024-10-02;2471;619
50;24;2024-10-02;2471;502
51;25;2024-12-14;3646;344
52;25;2024-12-14;3646;3
53;26;2023-01-05;2243;93
54;26;2023-01-05;2243;544
55;27;2023-10-10;4442;423
56;27;2023-10-10;4442;335
57;28;2024-05-04;4175;248
58;28;2024-05-04;4175;71
59;29;2024-01-07;5847;423
60;30;2023-03-02;3668;101
61;31;2025-05-10;1674;613
62;31;2025-05-10;1674;27
63;32;2025-07-11;1416;501
64;32;2025-07-11;1416;188
65;33;2023-05-10;6044;87
66;34;2023-01-01;1262;347
67;35;2025-07-14;4367;105
68;36;2024-09-11;3191;7
69;37;2024-09-30;5577;415
70;37;2024-09-30;5577;608
71;37;2024-09-30;5577;464
72;38;2025-03-19;987;302
73;38;2025-03-19;987;406
74;39;2023-09-29;1537;54
75;39;2023-09-29;1537;87
76;40;2023-04-29;2256;235
77;40;2023-04-29;2256;265
78;40;2023-04-29;2256;111
79;41;2024-11-03;3506;101
80;41;2024-11-03;3506;154
81;42;2025-01-13;396;459
82;42;2025-01-13;396;221
83;43;2025-10-10;4680;3
84;44;2024-07-01;1473;446
85;44;2024-07-01;1473;459
86;44;2024-07-01;1473;309
87;45;2025-08-12;5631;303
88;46;2023-05-27;1003;611
89;46;2023-05-27;1003;101
90;46;2023-05-27;1003;448
91;47;2024-10-08;1933;339
92;47;2024-10-08;1933;447
93;48;2025-09-14;6184;2
94;48;2025-09-14;6184;302
95;48;2025-09-14;6184;203
96;48;2025-09-14;6184;601
97;49;2024-09-28;3668;679
98;49;2024-09-28;3668;355
99;50;2023-12-14;6246;1
100;51;2023-08-27;5364;446
101;51;2023-08-27;5364;248
102;52;2025-09-16;2194;18
103;53;2025-08-25;6226;611
104;54;2025-02-22;2786;101
105;55;2025-03-06;487;603
106;56;2023-10-23;1721;414
107;57;2024-08-11;4334;423
108;57;2024-08-11;4334;502
109;58;2024-12-19;5434;251
110;58;2024-12-19;5434;414
111;58;2024-12-19;5434;3
112;58;2024-12-19;5434;510
113;58;2024-12-19;5434;94
114;59;2024-10-16;1328;3
115;59;2024-10-16;1328;298
116;59;2024-10-16;1328;555
117;59;2024-10-16;1328;603
118;60;2023-06-03;291;328
119;60;2023-06-03;291;340
120;60;2023-06-03;291;54
121;60;2023-06-03;291;614
122;61;2023-04-16;953;263
123;61;2023-04-16;953;328
124;62;2025-01-26;4177;251
125;62;2025-01-26;4177;321
126;63;2025-03-29;970;509
127;64;2024-12-22;4763;208
128;65;2025-03-20;3617;429
129;65;2025-03-20;3617;406
130;66;2023-08-22;3376;453
131;67;2024-11-16;254;309
132;68;2023-05-20;2081;199
133;69;2024-02-10;2361;544
134;69;2024-02-10;2361;265
135;70;2024-12-21;3303;316
136;70;2024-12-21;3303;655
137;71;2023-12-31;4712;235
138;71;2023-12-31;4712;508
139;71;2023-12-31;4712;689
140;72;2024-03-20;5662;348
141;73;2025-06-09;578;6
142;73;2025-06-09;578;4
143;74;2024-12-18;1782;45
144;75;2024-03-23;6206;387
145;76;2024-12-08;4800;138
146;77;2023-09-14;1226;289
147;78;2025-06-07;2644;210
148;78;2025-06-07;2644;6
149;79;2023-08-20;3612;414
150;80;2023-06-10;5797;531
151;80;2023-06-10;5797;394
152;80;2023-06-10;5797;115
153;80;2023-06-10;5797;642
154;81;2025-04-22;2358;318
155;82;2024-10-05;5453;227
156;82;2024-10-05;5453;115
157;83;2024-11-28;5313;426
158;83;2024-11-28;5313;638
159;83;2024-11-28;5313;373
160;83;2024-11-28;5313;523
161;84;2023-05-26;860;99
162;84;2023-05-26;860;463
163;84;2023-05-26;860;235
164;85;2023-12-10;1624;533
165;86;2023-03-21;434;503
166;86;2023-03-21;434;310
167;87;2024-12-29;1828;374
168;88;2023-10-12;2253;453
169;88;2023-10-12;2253;248
170;89;2023-08-20;2815;615
171;89;2023-08-20;2815;95
172;89;2023-08-20;2815;423
173;89;2023-08-20;2815;693
174;90;2024-03-15;2208;384
175;91;2023-02-14;3330;674
176;91;2023-02-14;3330;503
177;91;2023-02-14;3330;686
178;91;2023-02-14;3330;235
179;92;2024-12-20;3668;230
180;93;2023-05-10;6121;381
181;93;2023-05-10;6121;343
182;93;2023-05-10;6121;329
183;93;2023-05-10;6121;99
184;93;2023-05-10;6121;95
185;94;2025-01-12;434;230
186;95;2023-06-17;5272;452
187;95;2023-06-17;5272;447
188;96;2023-10-05;2671;105
189;96;2023-10-05;2671;265
190;96;2023-10-05;2671;143
191;97;2023-09-27;6180;335
192;98;2025-12-18;4735;2
193;98;2025-12-18;4735;248
194;99;2025-09-06;4510;302
195;100;2023-08-09;4624;263
196;100;2023-08-09;4624;598
197;101;2023-08-04;4694;254
198;102;2024-07-29;837;320
199;102;2024-07-29;837;323
200;103;2023-08-08;2965;426
201;103;2023-08-08;2965;88
202;104;2023-11-04;2095;1
203;104;2023-11-04;2095;375
204;105;2024-04-30;4437;269
205;106;2024-04-11;2327;1
206;106;2024-04-11;2327;618
207;107;2025-12-30;3730;294
208;107;2025-12-30;3730;274
209;108;2023-08-20;5466;603
210;108;2023-08-20;5466;388
211;109;2025-03-01;2746;415
212;109;2025-03-01;2746;270
213;110;2024-01-28;5303;295
214;111;2023-08-09;2564;361
215;111;2023-08-09;2564;381
216;111;2023-08-09;2564;338
217;112;2025-03-03;4657;3
218;113;2024-02-06;361;508
219;113;2024-02-06;361;289
220;114;2024-01-20;3741;502
221;115;2024-07-17;5789;124
222;115;2024-07-17;5789;371
223;115;2024-07-17;5789;422
224;116;2023-08-04;269;471
225;116;2023-08-04;269;448
226;117;2024-06-19;5559;250
227;118;2024-11-03;3129;287
228;118;2024-11-03;3129;420
229;119;2023-11-21;3973;235
230;119;2023-11-21;3973;531
231;120;2023-07-08;1493;497
232;121;2024-12-13;933;603
233;121;2024-12-13;933;519
234;122;2025-04-30;1800;4
235;123;2025-01-06;4664;1
236;123;2025-01-06;4664;603
237;124;2025-12-02;3763;203
238;125;2025-10-27;2024;29
239;126;2025-10-03;4852;204
240;127;2023-12-08;831;429
241;127;2023-12-08;831;451
242;127;2023-12-08;831;295
243;128;2023-11-11;4503;561
244;128;2023-11-11;4503;1
245;128;2023-11-11;4503;285
246;129;2025-09-24;1563;602
247;129;2025-09-24;1563;114
248;129;2025-09-24;1563;213
249;130;2023-08-26;3460;87
250;131;2025-04-27;349;520
251;131;2025-04-27;349;621
252;131;2025-04-27;349;1
253;132;2023-05-30;468;99
254;133;2025-02-11;4908;24
255;134;2025-12-08;4589;503
256;134;2025-12-08;4589;210
257;134;2025-12-08;4589;207
258;135;2025-12-19;595;501
259;136;2024-08-18;6025;480
260;136;2024-08-18;6025;260
261;136;2024-08-18;6025;345
262;137;2025-04-25;5831;3
263;137;2025-04-25;5831;604
264;137;2025-04-25;5831;361
265;137;2025-04-25;5831;1
266;138;2023-03-18;1344;95
267;138;2023-03-18;1344;502
268;138;2023-03-18;1344;329
269;139;2025-12-03;2803;34
270;140;2024-10-22;440;676
271;140;2024-10-22;440;95
272;140;2024-10-22;440;517
273;141;2023-10-02;3545;612
274;141;2023-10-02;3545;453
275;142;2025-02-08;1482;7
276;142;2025-02-08;1482;502
277;142;2025-02-08;1482;1
278;143;2025-09-24;4260;57
279;144;2025-07-07;450;610
280;145;2025-07-06;6184;2
281;145;2025-07-06;6184;59
282;146;2025-06-24;1291;213
283;147;2023-12-12;1209;532
284;148;2024-09-23;1508;608
285;149;2024-09-21;6033;351
286;149;2024-09-21;6033;309
287;149;2024-09-21;6033;3
288;150;2024-09-26;2693;310
289;150;2024-09-26;2693;208
290;150;2024-09-26;2693;295
291;151;2025-09-24;1613;201
292;151;2025-09-24;1613;406
293;151;2025-09-24;1613;245
294;152;2024-05-07;775;448
295;153;2025-12-23;5490;302
296;153;2025-12-23;5490;325
297;154;2023-04-10;1582;437
298;155;2024-06-11;4029;338
299;156;2023-11-15;2285;1
300;156;2023-11-15;2285;611
301;157;2024-11-26;5337;1
302;157;2024-11-26;5337;151
303;158;2025-09-01;2882;1
304;159;2025-02-05;2002;257
305;159;2025-02-05;2002;629
306;159;2025-02-05;2002;417
307;160;2024-05-01;3942;101
308;160;2024-05-01;3942;522
309;161;2025-04-28;5393;29
310;161;2025-04-28;5393;41
311;162;2025-10-31;1108;501
312;162;2025-10-31;1108;403
313;163;2024-06-03;4277;337
314;163;2024-06-03;4277;1
315;164;2024-04-13;41;320
316;164;2024-04-13;41;614
317;165;2024-11-11;2939;603
318;166;2023-05-07;3994;94
319;167;2024-12-06;2154;116
320;168;2023-08-08;2966;95
321;169;2023-10-21;4447;265
322;170;2024-07-20;5429;1
323;170;2024-07-20;5429;696
324;170;2024-07-20;5429;123
325;171;2025-05-29;5512;10
326;172;2025-11-25;2256;501
327;172;2025-11-25;2256;272
328;172;2025-11-25;2256;21
329;173;2024-06-27;3272;369
330;174;2024-12-04;4666;354
331;175;2024-10-13;1431;614
332;175;2024-10-13;1431;360
333;175;2024-10-13;1431;1
334;176;2023-06-12;4756;608
335;176;2023-06-12;4756;295
336;176;2023-06-12;4756;285
337;176;2023-06-12;4756;288
338;177;2025-11-05;1048;471
339;178;2023-06-25;163;448
340;178;2023-06-25;163;561
341;178;2023-06-25;163;64
342;179;2023-11-07;1172;295
343;179;2023-11-07;1172;124
344;179;2023-11-07;1172;265
345;179;2023-11-07;1172;1
346;180;2025-09-19;5159;607
347;181;2023-10-22;2908;460
348;182;2024-01-15;1506;1
349;183;2025-05-03;859;401
350;183;2025-05-03;859;302
351;184;2025-12-02;4331;504
